Node_ID,Node_Name,Arbol_1,Arbol_2,Arbol_3,Arbol_4,Arbol_5,Arbol_6,Arbol_7,Arbol_8
703347,*Lotame DAR Optimized^Standard^Female^F - 18-34,*Lotame DAR Optimized,Standard,Female,F - 18-34,,,,
703359,*Lotame DAR Optimized^Standard^Male^M - 18-34,*Lotame DAR Optimized,Standard,Male,M - 18-34,,,,
703366,*Lotame DAR Optimized^Standard^Persons^18-49,*Lotame DAR Optimized,Standard,Persons,18-49,,,,
703377,*Lotame DAR Optimized^Standard^Male^M - 18-49,*Lotame DAR Optimized,Standard,Male,M - 18-49,,,,
703370,*Lotame DAR Optimized^Standard^Male^M - 21-34,*Lotame DAR Optimized,Standard,Male,M - 21-34,,,,
703354,*Lotame DAR Optimized^Standard^Persons^25-44,*Lotame DAR Optimized,Standard,Persons,25-44,,,,
703344,*Lotame DAR Optimized^Standard^Female^F - 25-44,*Lotame DAR Optimized,Standard,Female,F - 25-44,,,,
703351,*Lotame DAR Optimized^Standard^Persons^25-49,*Lotame DAR Optimized,Standard,Persons,25-49,,,,
703360,*Lotame DAR Optimized^Standard^Female^F - 25-49,*Lotame DAR Optimized,Standard,Female,F - 25-49,,,,
703361,*Lotame DAR Optimized^Standard^Male^M - 25-49,*Lotame DAR Optimized,Standard,Male,M - 25-49,,,,
703371,*Lotame DAR Optimized^Standard^Persons^25-54,*Lotame DAR Optimized,Standard,Persons,25-54,,,,
703356,*Lotame DAR Optimized^Standard^Female^F - 25-54,*Lotame DAR Optimized,Standard,Female,F - 25-54,,,,
703368,*Lotame DAR Optimized^Standard^Male^M - 25-54,*Lotame DAR Optimized,Standard,Male,M - 25-54,,,,
703346,*Lotame DAR Optimized^Standard^Persons^35-54,*Lotame DAR Optimized,Standard,Persons,35-54,,,,
703357,*Lotame DAR Optimized^Standard^Female^F - 35-54,*Lotame DAR Optimized,Standard,Female,F - 35-54,,,,
703367,*Lotame DAR Optimized^Standard^Male^M - 35-54,*Lotame DAR Optimized,Standard,Male,M - 35-54,,,,
703358,*Lotame DAR Optimized^Standard^Persons^35-64,*Lotame DAR Optimized,Standard,Persons,35-64,,,,
703352,*Lotame DAR Optimized^Standard^Male^M - 35-64,*Lotame DAR Optimized,Standard,Male,M - 35-64,,,,
3616378,Lotame Data Selling Network - Location Hierarchy^Timezones^Africa^Monrovia,Lotame Data Selling Network - Location Hierarchy,Timezones,Africa,Monrovia,,,,
3616473,Lotame Data Selling Network - Location Hierarchy^Timezones^Atlantic^Faeroe,Lotame Data Selling Network - Location Hierarchy,Timezones,Atlantic,Faeroe,,,,
3616472,Lotame Data Selling Network - Location Hierarchy^Timezones^Atlantic^Cape Verde,Lotame Data Selling Network - Location Hierarchy,Timezones,Atlantic,Cape Verde,,,,
3616372,Lotame Data Selling Network - Location Hierarchy^Timezones^Africa^Lusaka,Lotame Data Selling Network - Location Hierarchy,Timezones,Africa,Lusaka,,,,
3616373,Lotame Data Selling Network - Location Hierarchy^Timezones^Africa^Malabo,Lotame Data Selling Network - Location Hierarchy,Timezones,Africa,Malabo,,,,
3616483,Lotame Data Selling Network - Location Hierarchy^Timezones^Europe^Andorra,Lotame Data Selling Network - Location Hierarchy,Timezones,Europe,Andorra,,,,
3616374,Lotame Data Selling Network - Location Hierarchy^Timezones^Africa^Maputo,Lotame Data Selling Network - Location Hierarchy,Timezones,Africa,Maputo,,,,
3616402,Lotame Data Selling Network - Location Hierarchy^Timezones^America^Guadeloupe,Lotame Data Selling Network - Location Hierarchy,Timezones,America,Guadeloupe,,,,
3616499,Lotame Data Selling Network - Location Hierarchy^Timezones^Europe^Monaco,Lotame Data Selling Network - Location Hierarchy,Timezones,Europe,Monaco,,,,
3616465,Lotame Data Selling Network - Location Hierarchy^Timezones^Asia^Thimphu,Lotame Data Selling Network - Location Hierarchy,Timezones,Asia,Thimphu,,,,
3616533,Lotame Data Selling Network - Location Hierarchy^Timezones^Pacific^Palau,Lotame Data Selling Network - Location Hierarchy,Timezones,Pacific,Palau,,,,
3616523,Lotame Data Selling Network - Location Hierarchy^Timezones^Indian^Maldives,Lotame Data Selling Network - Location Hierarchy,Timezones,Indian,Maldives,,,,
3616467,Lotame Data Selling Network - Location Hierarchy^Timezones^Asia^Vientiane,Lotame Data Selling Network - Location Hierarchy,Timezones,Asia,Vientiane,,,,
3616457,Lotame Data Selling Network - Location Hierarchy^Timezones^Asia^Rangoon,Lotame Data Selling Network - Location Hierarchy,Timezones,Asia,Rangoon,,,,
3616524,Lotame Data Selling Network - Location Hierarchy^Timezones^Indian^Mauritius,Lotame Data Selling Network - Location Hierarchy,Timezones,Indian,Mauritius,,,,
3616406,Lotame Data Selling Network - Location Hierarchy^Timezones^America^Havana,Lotame Data Selling Network - Location Hierarchy,Timezones,America,Havana,,,,
3616371,Lotame Data Selling Network - Location Hierarchy^Timezones^Africa^Luanda,Lotame Data Selling Network - Location Hierarchy,Timezones,Africa,Luanda,,,,
3616426,Lotame Data Selling Network - Location Hierarchy^Timezones^Asia^Almaty,Lotame Data Selling Network - Location Hierarchy,Timezones,Asia,Almaty,,,,
3616431,Lotame Data Selling Network - Location Hierarchy^Timezones^Asia^Baku,Lotame Data Selling Network - Location Hierarchy,Timezones,Asia,Baku,,,,
525043,Lotame Data Selling Network - Location Hierarchy^Timezones^US Timezones^US/Samoa,Lotame Data Selling Network - Location Hierarchy,Timezones,US Timezones,US/Samoa,,,,
3616385,Lotame Data Selling Network - Location Hierarchy^Timezones^Africa^Tripoli,Lotame Data Selling Network - Location Hierarchy,Timezones,Africa,Tripoli,,,,
525053,Lotame Data Selling Network - Location Hierarchy^Timezones^Canadian Timezones^America/Rankin_Inlet,Lotame Data Selling Network - Location Hierarchy,Timezones,Canadian Timezones,America/Rankin_Inlet,,,,
3616451,Lotame Data Selling Network - Location Hierarchy^Timezones^Asia^Macao,Lotame Data Selling Network - Location Hierarchy,Timezones,Asia,Macao,,,,
3616417,Lotame Data Selling Network - Location Hierarchy^Timezones^America^Paramaribo,Lotame Data Selling Network - Location Hierarchy,Timezones,America,Paramaribo,,,,
3616462,Lotame Data Selling Network - Location Hierarchy^Timezones^Asia^Tashkent,Lotame Data Selling Network - Location Hierarchy,Timezones,Asia,Tashkent,,,,
3616429,Lotame Data Selling Network - Location Hierarchy^Timezones^Asia^Baghdad,Lotame Data Selling Network - Location Hierarchy,Timezones,Asia,Baghdad,,,,
3616491,Lotame Data Selling Network - Location Hierarchy^Timezones^Europe^Gibraltar,Lotame Data Selling Network - Location Hierarchy,Timezones,Europe,Gibraltar,,,,
3616493,Lotame Data Selling Network - Location Hierarchy^Timezones^Europe^Kiev,Lotame Data Selling Network - Location Hierarchy,Timezones,Europe,Kiev,,,,
3616490,Lotame Data Selling Network - Location Hierarchy^Timezones^Europe^Copenhagen,Lotame Data Selling Network - Location Hierarchy,Timezones,Europe,Copenhagen,,,,
