Node_ID,Node_Name,Arbol_1,Arbol_2,Arbol_3,Arbol_4,Arbol_5,Arbol_6,Arbol_7,Arbol_8,ShortName_General,ShortName_Specific,NEWID
838899,*Lotame Shopping & Retail^Past Purchases^Auto^Make^Mercury,*Lotame Shopping & Retail,Past Purchases,Auto,Make,Mercury,,,,Past Purchases,Auto,838899
838898,*Lotame Shopping & Retail^Past Purchases^Retail^Clothing Shoes & Accessories^Bags Jewelry & Accessories^Bags,*Lotame Shopping & Retail,Past Purchases,Retail,Clothing Shoes & Accessories,Bags Jewelry & Accessories,Bags,,,Past Purchases,Clothing Shoes & Accessories,838898
838897,*Lotame Shopping & Retail^Past Purchases^Auto^Make^Chevy Truck,*Lotame Shopping & Retail,Past Purchases,Auto,Make,Chevy Truck,,,,Past Purchases,Auto,838897
838896,*Lotame Shopping & Retail^Past Purchases^Retail^Pets^Cats,*Lotame Shopping & Retail,Past Purchases,Retail,Pets,Cats,,,,Past Purchases,Pets,838514
838895,*Lotame Shopping & Retail^Past Purchases^Auto^Make^Dodge Truck,*Lotame Shopping & Retail,Past Purchases,Auto,Make,Dodge Truck,,,,Past Purchases,Auto,838895
838894,*Lotame Shopping & Retail^Past Purchases^Auto^Make^Land Rover,*Lotame Shopping & Retail,Past Purchases,Auto,Make,Land Rover,,,,Past Purchases,Auto,838894
838893,*Lotame Shopping & Retail^Past Purchases^Retail^Automotive Parts & Accessories^Car Electronics,*Lotame Shopping & Retail,Past Purchases,Retail,Automotive Parts & Accessories,Car Electronics,,,,Past Purchases,Automotive Parts & Accessories,838517
838892,*Lotame Shopping & Retail^Past Purchases^Retail^Computers^Brands^Unspecified Laptop,*Lotame Shopping & Retail,Past Purchases,Retail,Computers,Brands,Unspecified Laptop,,,Past Purchases,Computers,838892
838891,*Lotame Shopping & Retail^Past Purchases^Retail^Home & Garden^Yard Garden & Outdoor Living^Patio,*Lotame Shopping & Retail,Past Purchases,Retail,Home & Garden,Yard Garden & Outdoor Living,Patio,,,Past Purchases,Home & Garden,838483
838890,*Lotame Shopping & Retail^Past Purchases^Retail^Electronics^Cameras & Photography^Digital,*Lotame Shopping & Retail,Past Purchases,Retail,Electronics,Cameras & Photography,Digital,,,Past Purchases,Electronics,838890
838889,*Lotame Shopping & Retail^Past Purchases^Services^Internet Service Provider (ISP)^Connection Type^Dial[^]up,*Lotame Shopping & Retail,Past Purchases,Services,Internet Service Provider (ISP),Connection Type,Dial-up,,,Past Purchases,Internet Service Provider (ISP),838497
